Nature of complaint,Category
oil pressure not build up properly.,Oil Pump
"abnormal sound, suction over heat and oil carry over",Sound & Vibration
oil pressure not developing.,Oil Pump
kc oil pressure low,Oil Pump
solenoid valve not working,Valves & Solenoids
fitting lekage,Leaks (General)
hour meter not working,Hour Meter & Accessories
oil consumption high,Oil Consumption & Carryover
abnormal sound from compressor,Sound & Vibration
pressure gauge not working,Electrical & Instruments
pressure gauge out,Electrical & Instruments
suction pressure gauge not working.,Electrical & Instruments
cylinder rusty & delivery valve leakage,Valves & Solenoids
oil carry over,Oil Consumption & Carryover
pressure gauge thrd damaged,Electrical & Instruments
oil pump cracked while transit time,Oil Pump
low oil pressure-piston sieze,Oil Pump
compressor abnormal sound,Sound & Vibration
k5 valve thrd damage,Valves & Solenoids
oil pump pressure not builtup,Oil Pump
compressor seized,Cylinder & Overheating
pressure gauge not working.,Electrical & Instruments
discharge pressure gauge broken,Electrical & Instruments
overheating of cylinder,Cylinder & Overheating
solenoid valve malfunctioning,Valves & Solenoids
low oil pressure & metal dust in filters.,Oil Pump
no oil pressure & shaft seal leakage.,Oil Pump
crankcase heater leak,Leaks (General)
loading problem,Loading & Unloading
flywheel not rotating,Major Mechanical
solenoid valve stukup in manual operating.,Valves & Solenoids
high oil consumption & knocking sound.,Sound & Vibration
cloth piece inside crankcase,Others
paint problem,Others
oil lifting high,Oil Consumption & Carryover
kcx oil pump-purging,Oil Pump
knocking sound in compressor,Sound & Vibration
loading and unloading problem,Loading & Unloading
failure of oil pump,Oil Pump
shaft seal  leakage & overheat compressor.,Shaft Seal
oil pressure not delvelop & shaft seal leakage.,Oil Pump
cylinder overheating problem,Cylinder & Overheating
oil pressure not builtup,Oil Pump
shaft seal leakage & low oil pressure.,Oil Pump
control pannel box - wrong oil pressure connection,Others
pressure gauge leak,Electrical & Instruments
drain  adaptor broken,Others
panel board wiring wrong & pressure gauge not working,Electrical & Instruments
compressor seize,Cylinder & Overheating
oil pump purging problem,Oil Pump
discharge filter spring & spacer ring missing.,Others
dd flywheel retaining plate tap holes missing.,Major Mechanical
oil carryover,Oil Consumption & Carryover
abnormal sound and low oil pressure,Oil Pump
over heating,Cylinder & Overheating
op cutout  and wiring burn out,Electrical & Instruments
hp cutout not working,Electrical & Instruments
pressure gauge glass broken,Electrical & Instruments
no paint at base frame bottom,Others
pc2 oil pump tang broken,Oil Pump
discharge filter housing leak .,Leaks (General)
kcx oil pump not working,Oil Pump
kcx oil pump purging,Oil Pump
heavy vibrations and leakage at discharge housing,Sound & Vibration
kcx oil pump tang broken,Oil Pump
abnormal sound from motor pulley,Sound & Vibration
tah8 valve  adaptor broken in transit,Valves & Solenoids
oil pressure not developing,Oil Pump
delivery valve leak,Valves & Solenoids
oil pressure not devloping,Oil Pump
discharge valve leakage,Valves & Solenoids
abnormal sound from compressor head.,Sound & Vibration
"oil pressure not developing & loading, unloading problem",Oil Pump
abnormal sound in cylinder 1 and low oil pressure,Oil Pump
commissioning for kcx3,Others
housing manifold leakage from plug,Leaks (General)
breakdown of compressor,Others
loading unloading and oil pressure not develop,Oil Pump
td solenoid valve not working,Valves & Solenoids
plunger is not free in solenoid valve,Valves & Solenoids
suct pr gauge & op cut-out not working,Electrical & Instruments
suction str welding leakage,Leaks (General)
th8 valve adaptor broken,Others
gas leakage,Leaks (General)
kcx pump purging problem,Oil Pump
suction pressure gauge error,Electrical & Instruments
cylinder overheating due to delivery valve leakage.,Cylinder & Overheating
hp cylinder  orv  plug  missing,Cylinder & Overheating
op cut out  not working,Electrical & Instruments
abnormal sound and oil consumption,Sound & Vibration
pressure gauge error,Electrical & Instruments
kc63 compressor loading unloading problem,Loading & Unloading
oil  consumption,Oil Consumption & Carryover
paint peel off,Others
in-correct piping sequence,Others
cyl overheating due to dv leakage,Cylinder & Overheating
pump element broken,Oil Pump
knocking sound due to piston touches to dv,Sound & Vibration
"wrong sequence to lp cutout wiring done 5,4,2 instead of 4,5,2",Electrical & Instruments
crank case weld leak at discharge pipe,Leaks (General)
1.crankcase heater fouling to support of intermediate bearing housing 2. connecting rod and cap sr. no. not in same side 3.flywheel bore oversize.,Major Mechanical
crankcase heater fouling to stiffning plate,Leaks (General)
solenoid valve not working/ discharge valve assly,Valves & Solenoids
tah8 valve  adaptor broken,Valves & Solenoids
kcx oil pump element tang broken,Oil Pump
solenoid valve not working/ valve ring not freely seating in del. stroke limitor,Valves & Solenoids
panel board wiring burnt,Electrical & Instruments
oil pump damage,Oil Pump
oil pump tang broken,Oil Pump
transit damage - oil pump body,Oil Pump
oil pressure not build up,Oil Pump
abnormal sound from piston no 1,Sound & Vibration
oil consumption too high,Oil Consumption & Carryover
flywheel groove oversize,Major Mechanical
1.crankcase heater fouling to support of intermediate bearing housing 2. connecting rod and cap sr. no. not in same side,Major Mechanical
pump element tang broken,Oil Pump
pressure gauge & switch not working,Electrical & Instruments
c.case weld leak at discharge,Leaks (General)
flywheel bore oversize.,Major Mechanical
driving plate replaced,Others
abnormal noise in hp cylinder,Sound & Vibration
extra sound,Sound & Vibration
heating piston,Others
oil pressure not developed,Oil Pump
lp pressure switch / cutout not working,Electrical & Instruments
crank case leak near foot and shell joint due to crack,Leaks (General)
oil carryover problem,Oil Consumption & Carryover
suction pressure gauge not working,Electrical & Instruments
op overflow connection thread damaged,Others
ccsv problem,Loading & Unloading
knocking sound problem,Sound & Vibration
high pressure,Others
higher oil consumption,Oil Consumption & Carryover
oil pressure problem,Oil Pump
overheating & abnormal sound,Sound & Vibration
kcx oil pressure not develops,Oil Pump
pc2 oil pump seazed,Oil Pump
crankcase weld leak at discharge pipe,Leaks (General)
motorpulley keway distance  undersize by 0.3 to 0.7 mm,Others
oil lifting,Oil Consumption & Carryover
cylider overheat,Cylinder & Overheating
intermediate housing  bolts loose.,Others
paint peel off and colour change at discharge side,Others
cylinder overheat problem,Cylinder & Overheating
stop valve tal 100 leakage,Valves & Solenoids
delivery valve stuck in liner,Valves & Solenoids
oil leakage from filter manifold.,Leaks (General)
fitting leakage,Leaks (General)
solenoid valve not working. in visit of branch engineer no problem of solenoid valve,Valves & Solenoids
kcx pump element broken,Oil Pump
hp cylinder no. 4 seized,Cylinder & Overheating
wrong cut out fitted in gauge panel board,Electrical & Instruments
op cut out malfunctoning.,Electrical & Instruments
additional  intermediate housing  bolt found in crankcase.,Others
delivery valve leak & solenoid coil failure,Valves & Solenoids
piston crack,Cylinder & Overheating
overheating,Cylinder & Overheating
overheating of body & head.,Cylinder & Overheating
motor pulley bore oversize by 1mm,Others
cylinder overheating - cyl 4,Cylinder & Overheating
cylinder overheating - cyl 5,Cylinder & Overheating
loading & unloading problem,Loading & Unloading
coupling problem- disk pack broken,Coupling & Drive
air purging prblem,Oil Pump
overheating compressor,Cylinder & Overheating
retainer plate bolt threading damaged,Others
tal valve & sfaety valve leakage,Valves & Solenoids
abnormal sound & oil lifting,Sound & Vibration
delivery valve assly leakage,Valves & Solenoids
oil pressure not buildup,Oil Pump
oil pressure,Others
cylinder over heating,Cylinder & Overheating
oil pressuretrip,Others
coupling problem,Coupling & Drive
compressor over heating,Cylinder & Overheating
spring missing from oil pressure regulatror,Others
suction thermowell drill hole undersize,Others
low oil pressure problem,Oil Pump
k5 valve threading damaged,Valves & Solenoids
wrong wiring in control panel.,Others
oil leakage,Leaks (General)
discharge pressure to high,Others
leakage problem,Leaks (General)
excessive oil lifting,Oil Consumption & Carryover
anormal sound,Sound & Vibration
oil pressure is not being build up,Others
leaking from the oil filter,Leaks (General)
oil prassure gauge faculty,Others
discharge stop valve leackage.,Valves & Solenoids
cylider overheating,Cylinder & Overheating
overheating of cylinders,Cylinder & Overheating
kcx oil pump low oil pressure,Oil Pump
welding crack at discharge line,Leaks (General)
wrong serial number name plate punching.,Others
crankcase heater fouling to stiffening plate.,Leaks (General)
stop valve spindle damaged,Valves & Solenoids
op cutout malfunctioning,Electrical & Instruments
wrong pressure name plate fitted,Others
suction strainer missing,Others
suction & discharge temp error in the controller - krms panel.,KRMS & Sensors
oil lifting problem.,Oil Consumption & Carryover
tdv solenoid valve malfunctioning,Valves & Solenoids
panel guage board  - toggle got current,Others
discharge valve leakage.,Valves & Solenoids
overheating of compressor,Cylinder & Overheating
tal80/100 teflon missing,Others
opr problem,Electrical & Instruments
pressure gauge defective,Electrical & Instruments
oil lifting problem & knocking sound,Sound & Vibration
abnormal sound and over heating,Sound & Vibration
krms problem,KRMS & Sensors
overheating problem,Cylinder & Overheating
delivery valve assembly leakage,Valves & Solenoids
over heating & abnormal sound,Sound & Vibration
air purging problem,Oil Pump
panel board bypass switch problem,Electrical & Instruments
loading and unloading,Loading & Unloading
oil seperator float valve issue,Others
over heating compressor,Cylinder & Overheating
high oil carryover-piston crack.,Cylinder & Overheating
oil pressure  not develop,Oil Pump
oil carry over - piston crack,Cylinder & Overheating
seal leakage & over heating of head,Shaft Seal
abnormal sound piston crack,Sound & Vibration
oil carry over issue- piston crack,Cylinder & Overheating
oil pressure not develop & knocking sound,Oil Pump
oil pressure issue,Oil Pump
high oil carry over,Oil Consumption & Carryover
high discharge pressure,Others
delivery vavlve assly leakage,Leaks (General)
abnormal sound-piston crack,Sound & Vibration
knocking sound- piston crack,Sound & Vibration
op pressure not working,Electrical & Instruments
toggal switch getting shock/current.,Others
female run tee thread damaged.,Others
abnormal sound from hp,Sound & Vibration
abnormal sound from cylinder,Sound & Vibration
over heating problem,Cylinder & Overheating
kcx pump air purging,Oil Pump
retainer plate bolt broken,Others
shaft seal cover leakage,Shaft Seal
oil pump element tang broken,Oil Pump
controll panel box problem,Electrical & Instruments
oil pressure failure,Others
bearing cover bh,Major Mechanical
op switch not tripping,Others
suction pressure gauge out 16kg/cm2.,Electrical & Instruments
krms temperature sensor problem.,KRMS & Sensors
fitting leakage & poor aesthetics,Leaks (General)
vibration problem,Sound & Vibration
pump purging problem,Oil Pump
wrong fitment of suction strainer element & cloth bag missing.,Others
oil carry over problem,Oil Consumption & Carryover
oil leakage & air purging,Oil Pump
op cutout problem,Electrical & Instruments
valve lifting sleeve broken,Others
short supply -ferule and tee,Others
oil caryover,Others
flywheel paint peeloff,Major Mechanical
machining burr in cylinder,Others
pressure gauge leakage,Electrical & Instruments
op pressure switch not working,Electrical & Instruments
krms connection data loss,KRMS & Sensors
crankshaft wornout,Major Mechanical
op pressure switch malfunctioning,Electrical & Instruments
pressure switch not working,Electrical & Instruments
oil leakage from filter,Leaks (General)
kcx oil pressure problem,Oil Pump
pressure gauge malfunctioning,Electrical & Instruments
alignment was out from 8 mm,Coupling & Drive
v belt fitment problem,Coupling & Drive
kc oil pump tang broken,Oil Pump
pressure gauge leakage glycerine,Electrical & Instruments
rusting of internal parts i.e. liner del. vlave,Others
power supply adaptor and hardware for remote monitoring replaced. required for field trial suggested by d&d.,Others
remote monitoring hardware and power supply adaptor upgradation,Others
cylinder liner tap bolt broken,Cylinder & Overheating
v belt broken,Coupling & Drive
stop valve problem,Valves & Solenoids
overheating-piston crack,Cylinder & Overheating
upgradation of krms,KRMS & Sensors
crankshaft not rotates.,Major Mechanical
oil lifting and abnormal sound,Sound & Vibration
crank case welding  leakage,Leaks (General)
high oil consumption-orv blockage,Oil Consumption & Carryover
kc oil pump assly oil pr not develop,Oil Pump
overheating-delivery valve leak,Cylinder & Overheating
overheating-cylinder liner gasket broken,Cylinder & Overheating
oil separator flanges replaced-wrong name plate fitted,Others
shaft seal leakage-oring replaced,Shaft Seal
delivery valve failure,Valves & Solenoids
piston crack-oil lifting,Cylinder & Overheating
issue in krms sysytem,KRMS & Sensors
retaining plate welding broken,Others
tap bolt broken and deep impression mark on lever.,Others
high oil consumption-piston crack,Cylinder & Overheating
abnormal noise and low oil pressure problem.,Oil Pump
knocking sound-piston crack,Sound & Vibration
compressor foot crack,Others
compressor overheating,Cylinder & Overheating
pressure gauge  not working,Electrical & Instruments
overheating & oil lifting,Cylinder & Overheating
abnormal sound from coupling,Sound & Vibration
hp cut-outs wiring connection  wrong,Electrical & Instruments
kcx oil pressure problem-outer rotor tang broken,Oil Pump
discharge valve malfunctioning,Valves & Solenoids
krms problem.,KRMS & Sensors
oil pressure switch problem,Electrical & Instruments
suction pressure gauge malfunctioning,Electrical & Instruments
compressor crankcase inside rusty,Others
piston crack- high oil consumption,Cylinder & Overheating
krms controller panel mounting hole shift.,KRMS & Sensors
crankcase welding leakage,Leaks (General)
oil leakage from solenoid valve,Valves & Solenoids
pressure transducer wrong supply,KRMS & Sensors
oil lifting-piston crack,Cylinder & Overheating
kc-low oil pressure problem,Oil Pump
flywheel keyway taper,Major Mechanical
porosity in coupling piece,Coupling & Drive
solenoid valve leakage-leak from manual knob,Valves & Solenoids
tap bolt broken -loading unloading problem,Loading & Unloading
oil carryover-piston crack,Cylinder & Overheating
oil consumption-piston crack,Cylinder & Overheating
krms controller panel is malfunctioning,KRMS & Sensors
overheating-delivery ring broken,Cylinder & Overheating
high oil consumption & abnormal sound,Sound & Vibration
stop valve problem-welding crack,Valves & Solenoids
abnormal sound-delivery valve leak,Sound & Vibration
pressure not develop,Others
kcx oil pump  purging,Oil Pump
krms problem-discharge temp sensor not working,KRMS & Sensors
,Others
shaft seal oring damaged,Shaft Seal
discharge stop valve  back leaking,Valves & Solenoids
flywheel fitment issue,Major Mechanical
scoring marks on crank shaft od & c.case rusty,Major Mechanical
compressor rusty from inside,Others
oil lifting problem	-replaced pison ring set,Oil Consumption & Carryover
oil lifting-liner and piston ring set replaced,Cylinder & Overheating
oil pump purging,Oil Pump
stop valve passing tal100/125-teflon damaged,Valves & Solenoids
damage in flywheel,Major Mechanical
piston crack-knocking sound in compressor,Sound & Vibration
toggle switch not working,Others
abnormal sound-delivery valve leakage,Sound & Vibration
overheating -delivery valve leakage,Cylinder & Overheating
bearing cover leakage,Major Mechanical
abnormal noise-piston crack,Sound & Vibration
krms - controller board problem,KRMS & Sensors
krms sensor overheated,Cylinder & Overheating
wrong sbm no punching on compressor name plate.,Others
kcx low oil pressure-tang broken,Oil Pump
paint peeloff,Others
loading problem-tap bolt broken,Loading & Unloading
oil carryover - piston crack,Cylinder & Overheating
tah8 valve and adaptor not supplied,Valves & Solenoids
bottom plate and screw from tool box damaged,Others
oil purging issue,Oil Pump
loading & uloading problem,Loading & Unloading
control panel selector switch & lock damaged,Electrical & Instruments
low oil pressure & c.case rusty,Oil Pump
courtesy visit,Others
krms control panel box burnt,Electrical & Instruments
flywheel groove problem,Major Mechanical
retaining plate nut welding damaged,Others
hourmeter not working,Hour Meter & Accessories
high oil consumption - piston crack,Cylinder & Overheating
abnormal sound from drive set,Sound & Vibration
high oil comsumption,Others
shaft seal leak,Shaft Seal
pump air purging problem,Oil Pump
kcx oil pump lp pressure not developed,Oil Pump
error in pressure gauge,Electrical & Instruments
krms panel issue,KRMS & Sensors
high oil consumption-piston  ring set and liner worn out,Cylinder & Overheating
loading unloading problem-solenoid valve malfunctioning,Valves & Solenoids
cylinder overheating-piston crack,Cylinder & Overheating
ip toggle switch malfunctioning,Others
abnormal sound - delivery valve leakage,Sound & Vibration
kcx oil purging problem,Oil Pump
pressure gauge malfuctioning,Electrical & Instruments
kcx oil pump purging issue.,Oil Pump
discharge valve leak-valve kit broken,Valves & Solenoids
suction strainer element damaged.,Others
control panel leakage,Electrical & Instruments
rms device not working,KRMS & Sensors
solenoid valve malfuctioning,Valves & Solenoids
oil pump issue,Oil Pump
cylinder overheating & abnormal sound,Sound & Vibration
suction pressure gauge out & glass bulge,Electrical & Instruments
krms issue - no link showing in display,KRMS & Sensors
hp pressure gauge not working,Electrical & Instruments
oil carry over & overheating,Cylinder & Overheating
flywheel groove depth oversize,Major Mechanical
loading problem-solenoid valve malfunctioning,Valves & Solenoids
suction filter assly leakage,Leaks (General)
abnormal sound-cylinder liner and piston ring set worn out,Sound & Vibration
discharge stop valve problem.,Valves & Solenoids
discharge stop valve leakage,Valves & Solenoids
krms problems-wiring connector broken,KRMS & Sensors
wrong pressure switch -kp5,Electrical & Instruments
booster system hp pressure switch replaced,Electrical & Instruments
female run tee leakage,Leaks (General)
krms problem-controller not working,KRMS & Sensors
key loose in c.shaft keyway,Others
bearings worn out,Others
suction valve spring broken,Valves & Solenoids
burr found in cylinder no 7,Others
burr found in cylinder no 5,Others
pressure gauges out,Electrical & Instruments
krms-controller board not working,KRMS & Sensors
cylinder overheat-delivery valve leak,Cylinder & Overheating
high oil carryover-piston crack,Cylinder & Overheating
abnormal sound-deliver valve leak,Sound & Vibration
heater socket inclined-c.case problem,Others
base frame problem-0.4 to 1.2 mm gap between compressor foot and base frame pad,Others
knocking sound-cylinder liner and piston ring set worn out,Sound & Vibration
kcx manifold threading worn out due to excessive tightening at field,Others
leakage from 6 mm tubing from discharge to gauge board,Electrical & Instruments
discharge temprature sensor not working,KRMS & Sensors
delivery valve leakage-stroke limitor step mark,Valves & Solenoids
cylinder overheating & knocking sound,Sound & Vibration
oil pump air purging problem,Oil Pump
kc oil pressure problem,Oil Pump
paper filter placed at suction filter housisng  instead of  wire filter in compressor.,Others
cylinder overheating-discharge valve leak,Cylinder & Overheating
kit thermowell assly not received at site,Others
flywheel paint peel off,Major Mechanical
solenoid valve coil burnt,Valves & Solenoids
hr meter & tdv damaged,Hour Meter & Accessories
krms sensor problem,KRMS & Sensors
paint peel of at vld housing of cylinder no 1,Others
paint peel off at cylinder no.3,Others
c.case foot welding leakage/crack,Leaks (General)
discharge valve assly,Valves & Solenoids
shaft seal leakage -r22,Shaft Seal
oil pressure problem-oil pump assly,Oil Pump
kcx oil pump assly purging,Oil Pump
oil pressure problem-tang broken,Oil Pump
suction filter hsg leakage,Leaks (General)
overheating - piston crack,Cylinder & Overheating
overheat & abnormal sound,Sound & Vibration
overheating.,Cylinder & Overheating
oil presure issue - tang broken,Others
overheating - delivery valve leakage,Cylinder & Overheating
kc low oil pressure,Oil Pump
leakage from 22 dia. kcx internal pipe and bearing cover fitting joint,Major Mechanical
pressure switch break kp5a,Electrical & Instruments
oil strainer suction assembly welding leakage,Leaks (General)
oil separator leakage,Leaks (General)
knocking sound from hp cylinder,Sound & Vibration
delivery valve problem,Valves & Solenoids
oil carry over & abnormal sound,Sound & Vibration
pc2 oil pump seized,Oil Pump
pump opr not working,Electrical & Instruments
crankcase foot crack,Leaks (General)
overheat,Cylinder & Overheating
abnormal sound - hp cylinder seized,Sound & Vibration
oil pressure not develop - spares supply,Oil Pump
krms suction & discharge temp sensors nor working.,KRMS & Sensors
cylinder overheating (hp),Cylinder & Overheating
coupling disc pack damage,Coupling & Drive
wobbling of flywheel,Sound & Vibration
intermediate bearing bush damaged,Major Mechanical
oil carryover-del valve leak,Valves & Solenoids
pressure switch leakage from connector due to threading damaged,Electrical & Instruments
abnormal sound & oil carryover,Sound & Vibration
oil lifting issue,Oil Consumption & Carryover
kc oil pump low oil pressure,Oil Pump
pcx2 oil pump seized,Oil Pump
oil lifting-discharge valve leak,Valves & Solenoids
wrinkles on paint surface at discharge pipe,Others
solenoid valve coil not working.,Valves & Solenoids
pressure gauge out & male run tee thredaing damaged.,Electrical & Instruments
loading unloading problem.,Loading & Unloading
compressor welding leak/ crack at foot.,Leaks (General)
leakage from oil return line 15 dia.pin and ferule,Leaks (General)
base frame warpage,Others
pressure guge not working,Others
connecting rod no 1 & 2  bolts found partially tightened.-improper fitment gap observed between bolt head and conrod face.,Major Mechanical
shaft seal cover drain pipe not fitted,Shaft Seal
bubbles/blistering  on paint surface at discharge pipe,Others
wrong pressure switch fitted in control pannel i.e. fitted kp1a instead of kp5a,Electrical & Instruments
shaft seal leakage and thrust ring wornout,Shaft Seal
discharge valve leak,Valves & Solenoids
v belt loose,Coupling & Drive
delivery valve kit broken,Valves & Solenoids
kcx oil pump pressure not developed-purging,Oil Pump
scoring marks -kcx fw side bearing,Major Mechanical
pcx2 discharge oil filter damaged / magnetic element,Others
direct drive coupling hub  broken,Coupling & Drive
coupling piece  broken,Coupling & Drive
krms controller board malfunctioning,KRMS & Sensors
wrong supply of solenoid valve coil,Valves & Solenoids
suction valve spring defective,Valves & Solenoids
abnormal sound-suction valve spring broken,Sound & Vibration
overheating-delivery valve spring broken,Cylinder & Overheating
abnormal sound-site issue,Sound & Vibration
cylinder overheat-delivery valve kit broken,Cylinder & Overheating
cylinder overheating-step mark on del stroke limitor,Cylinder & Overheating
pressure gauge damaged,Electrical & Instruments
rms device issue(log history not showing),KRMS & Sensors
gauge board fittings leakage,Electrical & Instruments
pressure gauge thread damaged/spoiled.,Electrical & Instruments
stop valve gland nut damaged,Valves & Solenoids
krms smps burned,KRMS & Sensors
hp suction strainer element damaged.,Others
lp oil pressure not develop,Oil Pump
